host_epoch	tp_offset_ns	quant_err_ns	fix_type	num_sv	survey_valid
1784090474.118427711	NaN	-3.565	NaN	NaN	NaN
1784090474.123546647	NaN	NaN	NaN	17	NaN
1784090474.128623849	NaN	2.059	NaN	NaN	NaN
1784090474.133814951	NaN	NaN	NaN	17	NaN
1784090474.138963933	NaN	-0.131	NaN	NaN	NaN
1784090474.144114296	NaN	NaN	NaN	18	NaN
1784090474.149304900	NaN	-2.668	NaN	NaN	NaN
1784090474.154536216	NaN	NaN	NaN	17	NaN
1784090474.159590812	NaN	2.728	NaN	NaN	NaN
1784090474.164715953	NaN	NaN	NaN	18	NaN
1784090474.169799061	NaN	-0.091	NaN	NaN	NaN
1784090474.174834150	NaN	NaN	NaN	17	NaN
1784090474.179842320	NaN	-2.807	NaN	NaN	NaN
1784090474.184885909	NaN	NaN	NaN	17	NaN
1784090474.189897845	NaN	3.02	NaN	NaN	NaN
1784090474.194923342	NaN	NaN	NaN	18	NaN
1784090474.200027835	NaN	0.887	NaN	NaN	NaN
1784090474.205028586	NaN	NaN	NaN	17	NaN
1784090474.210035234	NaN	-1.951	NaN	NaN	NaN
1784090474.215128208	NaN	NaN	NaN	19	NaN
1784090474.220229314	NaN	3.271	NaN	NaN	NaN
1784090474.225350822	NaN	NaN	NaN	19	NaN
1784090474.230351580	NaN	1.578	NaN	NaN	NaN
1784090474.235560955	NaN	NaN	NaN	20	NaN
1784090474.240682855	NaN	-0.186	NaN	NaN	NaN
1784090474.245626020	NaN	NaN	NaN	20	NaN
1784090486.120605266	NaN	-2.5	NaN	NaN	NaN
1784090486.125695907	NaN	NaN	NaN	20	NaN
1784090486.130821984	NaN	3.0	NaN	NaN	NaN
1784090486.136067120	NaN	NaN	NaN	21	NaN
1784090486.141193274	NaN	-0.153	NaN	NaN	NaN
1784090486.146431425	NaN	NaN	NaN	21	NaN
1784090486.151628955	NaN	-2.642	NaN	NaN	NaN
1784090486.156837949	NaN	NaN	NaN	21	NaN
1784090486.161929500	NaN	2.962	NaN	NaN	NaN
1784090486.167074196	NaN	NaN	NaN	21	NaN
1784090486.172184075	NaN	0.213	NaN	NaN	NaN
1784090486.177187785	NaN	NaN	NaN	19	NaN
1784090486.182173088	NaN	-2.285	NaN	NaN	NaN
1784090486.187120959	NaN	NaN	NaN	20	NaN
1784090486.191906013	NaN	3.488	NaN	NaN	NaN
1784090486.196933831	NaN	NaN	NaN	20	NaN
1784090486.201822839	NaN	0.8	NaN	NaN	NaN
1784090486.206845475	NaN	NaN	NaN	21	NaN
1784090486.211768313	NaN	-1.99	NaN	NaN	NaN
1784090486.216833404	NaN	NaN	NaN	20	NaN
1784090486.221836194	NaN	3.267	NaN	NaN	NaN
1784090486.226863721	NaN	NaN	NaN	21	NaN
1784090486.231847761	NaN	0.647	NaN	NaN	NaN
1784090486.237012456	NaN	NaN	NaN	21	NaN
1784090497.139144857	NaN	-1.494	NaN	NaN	NaN
1784090497.144269850	NaN	NaN	NaN	20	NaN
1784090497.149409942	NaN	3.441	NaN	NaN	NaN
