host_epoch	tp_offset_ns	quant_err_ns	fix_type	num_sv	survey_valid
1783403492.159823262	NaN	3.607	NaN	NaN	NaN
1783403493.142175289	NaN	-1.421	NaN	NaN	NaN
1783403494.140568468	NaN	1.241	NaN	NaN	NaN
1783403495.139675267	NaN	-3.612	NaN	NaN	NaN
1783403496.139014530	NaN	-0.392	NaN	NaN	NaN
1783403497.139147960	NaN	2.631	NaN	NaN	NaN
1783403498.133746633	NaN	-2.221	NaN	NaN	NaN
1783403499.138182480	NaN	0.878	NaN	NaN	NaN
1783403500.141573543	NaN	3.134	NaN	NaN	NaN
1783403501.140107631	NaN	-2.169	NaN	NaN	NaN
1783403502.146322116	NaN	1.049	NaN	NaN	NaN
1783403503.142014061	NaN	-3.403	NaN	NaN	NaN
1783403504.136593765	NaN	-0.408	NaN	NaN	NaN
1783403505.139026257	NaN	2.706	NaN	NaN	NaN
1783403506.149385676	NaN	-1.552	NaN	NaN	NaN
1783403507.141132920	NaN	1.768	NaN	NaN	NaN
1783403508.150693498	NaN	-2.819	NaN	NaN	NaN
1783403509.136745559	NaN	0.947	NaN	NaN	NaN
1783403510.135424000	NaN	-3.146	NaN	NaN	NaN
1783403511.138247913	NaN	0.714	NaN	NaN	NaN
1783403512.139815727	NaN	-3.764	NaN	NaN	NaN
1783403513.138202152	NaN	-1.152	NaN	NaN	NaN
1783403514.137017893	NaN	2.3	NaN	NaN	NaN
1783403515.135886001	NaN	-2.278	NaN	NaN	NaN
1783403516.142770158	NaN	2.038	NaN	NaN	NaN
1783403517.142713161	NaN	-1.968	NaN	NaN	NaN
1783403518.139782293	NaN	1.722	NaN	NaN	NaN
1783403519.139089719	NaN	-2.762	NaN	NaN	NaN
1783403520.142710407	NaN	0.777	NaN	NaN	NaN
1783403521.144960910	NaN	-2.488	NaN	NaN	NaN
1783403522.134911505	NaN	1.732	NaN	NaN	NaN
1783403523.149077267	NaN	-1.456	NaN	NaN	NaN
1783403524.146953234	NaN	2.602	NaN	NaN	NaN
1783403525.141804760	NaN	-1.247	NaN	NaN	NaN
1783403526.143269344	NaN	3.664	NaN	NaN	NaN
1783403527.140139485	NaN	0.555	NaN	NaN	NaN
1783403528.138696243	NaN	-2.384	NaN	NaN	NaN
1783403529.142083413	NaN	2.761	NaN	NaN	NaN
1783403530.132806010	NaN	-0.552	NaN	NaN	NaN
1783403531.138075205	NaN	-3.831	NaN	NaN	NaN
1783403532.143169097	NaN	0.596	NaN	NaN	NaN
1783403533.141083610	NaN	-2.758	NaN	NaN	NaN
1783403534.144696743	NaN	1.247	NaN	NaN	NaN
1783403535.151074621	NaN	-1.87	NaN	NaN	NaN
1783403536.142997107	NaN	2.888	NaN	NaN	NaN
