host_epoch	tp_offset_ns	quant_err_ns	fix_type	num_sv	survey_valid
1700000001.000	NaN	NaN	NaN	10	NaN
1700000001.000	NaN	NaN	3	NaN	NaN
1700000002.000	NaN	NaN	NaN	12	NaN
1700000002.000	NaN	NaN	3	NaN	NaN
1700000003.000	NaN	NaN	NaN	12	NaN
1700000003.000	NaN	NaN	3	NaN	NaN
1700000004.000	NaN	NaN	NaN	10	NaN
1700000004.000	NaN	NaN	3	NaN	NaN
1700000005.000	NaN	NaN	NaN	11	NaN
1700000005.000	NaN	NaN	3	NaN	NaN
1700000006.000	NaN	NaN	NaN	11	NaN
1700000006.000	NaN	NaN	3	NaN	NaN
1700000007.000	NaN	NaN	NaN	12	NaN
1700000007.000	NaN	NaN	3	NaN	NaN
1700000008.000	NaN	NaN	NaN	12	NaN
1700000008.000	NaN	NaN	3	NaN	NaN
1700000009.000	NaN	NaN	NaN	9	NaN
1700000009.000	NaN	NaN	3	NaN	NaN
1700000010.000	NaN	NaN	NaN	9	NaN
1700000010.000	NaN	NaN	3	NaN	NaN
1700000011.000	NaN	NaN	NaN	12	NaN
1700000011.000	NaN	NaN	3	NaN	NaN
1700000012.000	NaN	NaN	NaN	11	NaN
1700000012.000	NaN	NaN	3	NaN	NaN
1700000013.000	NaN	NaN	NaN	12	NaN
1700000013.000	NaN	NaN	3	NaN	NaN
1700000014.000	NaN	NaN	NaN	9	NaN
1700000014.000	NaN	NaN	3	NaN	NaN
1700000015.000	NaN	NaN	NaN	11	NaN
1700000015.000	NaN	NaN	3	NaN	NaN
1700000016.000	NaN	NaN	NaN	12	NaN
1700000016.000	NaN	NaN	3	NaN	NaN
1700000017.000	NaN	NaN	NaN	10	NaN
1700000017.000	NaN	NaN	3	NaN	NaN
1700000018.000	NaN	NaN	NaN	13	NaN
1700000018.000	NaN	NaN	3	NaN	NaN
1700000019.000	NaN	NaN	NaN	13	NaN
1700000019.000	NaN	NaN	3	NaN	NaN
1700000020.000	NaN	NaN	NaN	9	NaN
1700000020.000	NaN	NaN	3	NaN	NaN
1700000021.000	NaN	NaN	NaN	9	NaN
1700000021.000	NaN	NaN	3	NaN	NaN
1700000022.000	NaN	NaN	NaN	11	NaN
1700000022.000	NaN	NaN	3	NaN	NaN
1700000023.000	NaN	NaN	NaN	13	NaN
1700000023.000	NaN	NaN	3	NaN	NaN
1700000024.000	NaN	NaN	NaN	11	NaN
1700000024.000	NaN	NaN	3	NaN	NaN
1700000025.000	NaN	NaN	NaN	10	NaN
1700000025.000	NaN	NaN	3	NaN	NaN
1700000026.000	NaN	NaN	NaN	11	NaN
1700000026.000	NaN	NaN	3	NaN	NaN
1700000027.000	NaN	NaN	NaN	9	NaN
1700000027.000	NaN	NaN	3	NaN	NaN
1700000028.000	NaN	NaN	NaN	10	NaN
1700000028.000	NaN	NaN	3	NaN	NaN
1700000029.000	NaN	NaN	NaN	11	NaN
1700000029.000	NaN	NaN	3	NaN	NaN
1700000030.000	NaN	NaN	NaN	11	NaN
1700000030.000	NaN	NaN	3	NaN	NaN
1700000031.000	NaN	NaN	NaN	10	NaN
1700000031.000	NaN	NaN	3	NaN	NaN
1700000032.000	NaN	NaN	NaN	10	NaN
1700000032.000	NaN	NaN	3	NaN	NaN
1700000033.000	NaN	NaN	NaN	10	NaN
1700000033.000	NaN	NaN	3	NaN	NaN
1700000034.000	NaN	NaN	NaN	11	NaN
1700000034.000	NaN	NaN	3	NaN	NaN
1700000035.000	NaN	NaN	NaN	10	NaN
1700000035.000	NaN	NaN	3	NaN	NaN
1700000036.000	NaN	NaN	NaN	9	NaN
1700000036.000	NaN	NaN	3	NaN	NaN
1700000037.000	NaN	NaN	NaN	12	NaN
1700000037.000	NaN	NaN	3	NaN	NaN
