host_epoch	tp_offset_ns	quant_err_ns	fix_type	num_sv	survey_valid
1783405789.143203557	NaN	-2.401	NaN	NaN	NaN
1783405789.148354270	NaN	NaN	NaN	20	NaN
1783405790.171528050	NaN	2.71	NaN	NaN	NaN
1783405790.176786717	NaN	NaN	NaN	21	NaN
1783405791.147234084	NaN	-0.081	NaN	NaN	NaN
1783405791.152313589	NaN	NaN	NaN	22	NaN
1783405792.143289412	NaN	-2.367	NaN	NaN	NaN
1783405792.148364642	NaN	NaN	NaN	21	NaN
1783405793.153584228	NaN	2.445	NaN	NaN	NaN
1783405793.158766216	NaN	NaN	NaN	21	NaN
1783405794.150914794	NaN	0.054	NaN	NaN	NaN
1783405794.156125061	NaN	NaN	NaN	20	NaN
1783405795.150528189	NaN	-3.014	NaN	NaN	NaN
1783405795.155720414	NaN	NaN	NaN	19	NaN
1783405796.154081879	NaN	2.865	NaN	NaN	NaN
1783405796.159199508	NaN	NaN	NaN	21	NaN
1783405797.146894242	NaN	1.557	NaN	NaN	NaN
1783405797.152097101	NaN	NaN	NaN	20	NaN
1783405798.146456967	NaN	0.162	NaN	NaN	NaN
1783405798.151678844	NaN	NaN	NaN	20	NaN
1783405799.149169161	NaN	-1.567	NaN	NaN	NaN
1783405799.154374910	NaN	NaN	NaN	19	NaN
1783405800.148153404	NaN	-2.79	NaN	NaN	NaN
1783405800.153285950	NaN	NaN	NaN	21	NaN
1783405801.142764957	NaN	-3.756	NaN	NaN	NaN
1783405801.148030529	NaN	NaN	NaN	18	NaN
1783405802.142679769	NaN	3.35	NaN	NaN	NaN
1783405802.147842029	NaN	NaN	NaN	21	NaN
1783405803.143704463	NaN	1.889	NaN	NaN	NaN
1783405803.148778317	NaN	NaN	NaN	18	NaN
1783405804.141486310	NaN	1.007	NaN	NaN	NaN
1783405804.146696726	NaN	NaN	NaN	18	NaN
1783405805.143181715	NaN	0.851	NaN	NaN	NaN
1783405805.148333217	NaN	NaN	NaN	20	NaN
1783405806.155047782	NaN	0.646	NaN	NaN	NaN
1783405806.160202318	NaN	NaN	NaN	19	NaN
1783405807.158124317	NaN	-1.072	NaN	NaN	NaN
1783405807.163306549	NaN	NaN	NaN	19	NaN
1783405808.144035697	NaN	-3.348	NaN	NaN	NaN
1783405808.149189458	NaN	NaN	NaN	18	NaN
1783405809.148955893	NaN	2.989	NaN	NaN	NaN
1783405809.154108547	NaN	NaN	NaN	17	NaN
1783405810.148210172	NaN	2.794	NaN	NaN	NaN
1783405810.153472196	NaN	NaN	NaN	17	NaN
1783405811.144684384	NaN	1.952	NaN	NaN	NaN
1783405811.149794651	NaN	NaN	NaN	17	NaN
1783405812.140426404	NaN	1.509	NaN	NaN	NaN
1783405812.145622280	NaN	NaN	NaN	17	NaN
1783405813.141872635	NaN	0.238	NaN	NaN	NaN
1783405813.147424772	NaN	NaN	NaN	16	NaN
1783405814.144255667	NaN	-0.739	NaN	NaN	NaN
1783405814.149510558	NaN	NaN	NaN	17	NaN
1783405815.138793567	NaN	-1.517	NaN	NaN	NaN
1783405815.143975197	NaN	NaN	NaN	18	NaN
1783405816.144876703	NaN	-0.578	NaN	NaN	NaN
1783405816.150079885	NaN	NaN	NaN	19	NaN
1783405817.144123219	NaN	-0.298	NaN	NaN	NaN
1783405817.149295484	NaN	NaN	NaN	21	NaN
1783405818.146546264	NaN	-0.855	NaN	NaN	NaN
1783405818.151789984	NaN	NaN	NaN	20	NaN
1783405819.142160542	NaN	-1.523	NaN	NaN	NaN
1783405819.147368336	NaN	NaN	NaN	21	NaN
1783405820.148820765	NaN	-0.997	NaN	NaN	NaN
1783405820.154070610	NaN	NaN	NaN	21	NaN
