host_epoch	tp_offset_ns	quant_err_ns	fix_type	num_sv	survey_valid
1700000001.0	NaN	4.676	3	12	1
1700000002.0	NaN	3.351	3	12	1
1700000003.0	NaN	4.140	3	12	1
1700000004.0	NaN	4.433	3	12	1
1700000005.0	NaN	6.104	3	12	1
1700000006.0	NaN	3.299	3	12	1
1700000007.0	NaN	2.470	3	12	1
1700000008.0	NaN	0.967	3	12	1
1700000009.0	NaN	-1.182	3	12	1
1700000010.0	NaN	-2.870	3	12	1
1700000011.0	NaN	-3.895	3	12	1
1700000012.0	NaN	-4.468	3	12	1
1700000013.0	NaN	-6.282	3	12	1
1700000014.0	NaN	-5.438	3	12	1
1700000015.0	NaN	-6.533	3	12	1
1700000016.0	NaN	-12.928	3	12	1
1700000017.0	NaN	-10.547	3	12	1
1700000018.0	NaN	-11.331	3	12	1
1700000019.0	NaN	-12.818	3	12	1
1700000020.0	NaN	-12.281	3	12	1
1700000021.0	NaN	-11.821	3	12	1
1700000022.0	NaN	-11.715	3	12	1
1700000023.0	NaN	-13.424	3	12	1
1700000024.0	NaN	-13.041	3	12	1
1700000025.0	NaN	-16.116	3	12	1
1700000026.0	NaN	-13.229	3	12	1
1700000027.0	NaN	-15.760	3	12	1
1700000028.0	NaN	-16.173	3	12	1
1700000029.0	NaN	-16.135	3	12	1
1700000030.0	NaN	-15.697	3	12	1
1700000031.0	NaN	-16.190	3	12	1
1700000032.0	NaN	-15.224	3	12	1
1700000033.0	NaN	-22.494	3	12	1
1700000034.0	NaN	-22.962	3	12	1
1700000035.0	NaN	-23.540	3	12	1
1700000036.0	NaN	-24.668	3	12	1
1700000037.0	NaN	-21.866	3	12	1
1700000038.0	NaN	-24.080	3	12	1
1700000039.0	NaN	-24.506	3	12	1
1700000040.0	NaN	-28.840	3	12	1
1700000041.0	NaN	-28.554	3	12	1
1700000042.0	NaN	-32.075	3	12	1
1700000043.0	NaN	-35.492	3	12	1
1700000044.0	NaN	-31.017	3	12	1
1700000045.0	NaN	-29.865	3	12	1
1700000046.0	NaN	-30.146	3	12	1
1700000047.0	NaN	-30.066	3	12	1
1700000048.0	NaN	-33.235	3	12	1
1700000049.0	NaN	-35.622	3	12	1
1700000050.0	NaN	-35.031	3	12	1
1700000051.0	NaN	-39.573	3	12	1
1700000052.0	NaN	-39.287	3	12	1
1700000053.0	NaN	-43.062	3	12	1
1700000054.0	NaN	-43.082	3	12	1
1700000055.0	NaN	-45.598	3	12	1
