elapsed_s	offset_ns	freq_ppb
0.000	6	10010
1.000	5	10011
2.000	-9	9998
3.000	3	10008
4.000	-2	10003
5.000	-2	10003
6.000	-2	10002
7.000	-1	10003
8.000	6	10009
9.000	0	10005
10.000	-2	10003
11.000	-2	10003
12.000	5	10009
13.000	-1	10004
14.000	-3	10002
15.000	-2	10002
16.000	6	10010
17.000	-7	9998
18.000	4	10007
19.000	-1	10004
20.000	6	10010
21.000	-8	9998
22.000	-3	10001
23.000	-1	10002
24.000	7	10009
25.000	-6	9999
26.000	-1	10002
27.000	7	10009
28.000	0	10005
29.000	-8	9997
30.000	-1	10001
31.000	7	10009
32.000	2	10006
33.000	-8	9997
34.000	-1	10001
35.000	1	10003
36.000	1	10003
37.000	-5	9997
38.000	7	10008
39.000	2	10005
40.000	0	10004
41.000	-7	9997
42.000	0	10002
43.000	1	10003
44.000	8	10010
45.000	1	10005
46.000	-7	9998
47.000	-2	10000
48.000	1	10003
49.000	1	10003
50.000	1	10003
51.000	-5	9998
52.000	0	10001
53.000	2	10003
54.000	2	10004
55.000	1	10003
56.000	1	10004
57.000	-6	9997
58.000	0	10001
59.000	1	10002
60.000	2	10004
61.000	-11	9991
62.000	1	10000
63.000	4	10003
64.000	4	10004
65.000	-4	9998
66.000	-4	9996
67.000	2	10001
68.000	4	10004
69.000	4	10005
70.000	-5	9997
71.000	-5	9996
72.000	2	10001
73.000	4	10004
74.000	-3	9998
75.000	-4	9996
76.000	3	10002
77.000	4	10004
78.000	4	10005
79.000	-11	9991
80.000	1	10000
81.000	-2	9997
82.000	4	10003
83.000	4	10004
84.000	4	10005
85.000	2	10004
86.000	-12	9991
87.000	1	10000
88.000	4	10003
89.000	3	10004
90.000	-4	9998
91.000	2	10002
92.000	9	10010
93.000	-11	9993
94.000	0	10000
95.000	2	10002
96.000	10	10011
97.000	2	10006
98.000	-1	10004
99.000	-8	9996
100.000	-1	10001
101.000	1	10003
102.000	2	10004
103.000	1	10003
104.000	-5	9998
105.000	0	10001
106.000	2	10003
107.000	8	10010
108.000	1	10005
109.000	5	10010
110.000	-7	9999
111.000	-3	10001
112.000	-1	10002
113.000	6	10009
114.000	1	10006
115.000	-2	10003
116.000	-8	9996
117.000	-1	10001
118.000	8	10010
119.000	1	10005
120.000	-1	10003
121.000	-1	10003
122.000	-1	10003
123.000	6	10009
124.000	6	10011
125.000	5	10012
126.000	-4	10004
127.000	-12	9995
128.000	2	10006
129.000	6	10010
130.000	-1	10005
131.000	4	10010
132.000	3	10010
133.000	-3	10005
134.000	1	10008
135.000	-4	10003
136.000	9	10015
137.000	-3	10006
138.000	-5	10003
139.000	-5	10001
140.000	3	10008
141.000	4	10010
142.000	4	10011
143.000	3	10011
144.000	-5	10004
145.000	-6	10002
146.000	-5	10001
147.000	4	10008
148.000	-1	10004
149.000	4	10009
150.000	-2	10004
151.000	-3	10003
152.000	-3	10002
153.000	5	10009
154.000	-1	10004
155.000	-2	10003
156.000	4	10009
157.000	-8	9998
158.000	-2	10001
159.000	6	10009
160.000	7	10012
161.000	-8	9999
162.000	-4	10000
163.000	6	10009
164.000	6	10011
165.000	5	10012
166.000	-10	9998
167.000	1	10006
168.000	5	10010
169.000	4	10011
170.000	2	10010
171.000	-11	9998
172.000	0	10005
173.000	11	10016
174.000	4	10013
175.000	-12	9998
176.000	-1	10005
177.000	4	10010
178.000	3	10010
179.000	-10	9998
180.000	1	10006
181.000	4	10009
182.000	-2	10005
183.000	3	10009
184.000	-3	10004
185.000	-4	10002
186.000	3	10008
187.000	-1	10005
188.000	-9	9996
189.001	4	10007
190.000	0	10004
191.000	-1	10003
192.000	6	10010
193.000	-7	9998
194.000	-2	10001
195.000	6	10009
196.000	-6	9999
